Latitude (decimal degrees):	33.651
Longitude (decimal degrees):	-117.710
Elevation (m):	113
Radiation database:	PVGIS-NSRDB


Slope: 34 deg. (optimum)
Azimuth: 9 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	100.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20150212:0800,0.0,0.0,0.0,0.0,0.0,16.64,1.95,0.0
20150212:0900,0.0,0.0,0.0,0.0,0.0,16.36,1.96,0.0
20150212:1000,0.0,0.0,0.0,0.0,0.0,16.01,2.26,0.0
20150212:1100,0.0,0.0,0.0,0.0,0.0,15.66,2.56,0.0
20150212:1200,0.0,0.0,0.0,0.0,0.0,15.31,2.86,0.0
20150212:1300,0.0,0.0,0.0,0.0,0.0,15.61,2.74,0.0
20150212:1400,0.0,0.0,0.0,0.0,0.0,15.92,2.62,0.0
20150212:1500,2771.0,42.7,20.83,0.68,3.43,16.22,2.5,0.0
20150212:1600,26172.0,266.06,71.62,3.99,14.88,17.16,2.22,0.0
20150212:1700,48570.0,507.2,93.78,7.39,25.29,18.09,1.94,0.0
20150212:1800,64548.0,709.49,107.39,10.12,34.03,19.02,1.66,0.0
20150212:1900,74999.0,853.02,115.15,11.92,40.16,19.41,1.77,0.0
20150212:2000,79707.0,920.4,119.49,12.58,42.63,19.79,1.88,0.0
20150212:2100,78906.0,907.19,120.51,12.09,40.89,20.17,1.99,0.0
20150212:2200,71801.0,812.21,116.84,10.45,35.34,20.22,1.58,0.0
20150212:2300,59061.0,644.05,108.6,7.85,26.99,20.26,1.18,0.0
20150213:0000,39555.0,409.47,90.21,4.56,17.04,20.3,0.77,0.0
20150213:0100,12823.0,136.4,43.78,1.16,5.72,19.79,0.75,0.0
20150213:0200,0.0,0.0,0.0,0.0,0.0,19.29,0.74,0.0
20150213:0300,0.0,0.0,0.0,0.0,0.0,18.78,0.72,0.0
20150213:0400,0.0,0.0,0.0,0.0,0.0,18.28,0.87,0.0
20150213:0500,0.0,0.0,0.0,0.0,0.0,17.79,1.02,0.0
20150213:0600,0.0,0.0,0.0,0.0,0.0,17.29,1.17,0.0
20150213:0700,0.0,0.0,0.0,0.0,0.0,16.76,1.37,0.0
20150213:0800,0.0,0.0,0.0,0.0,0.0,16.23,1.57,0.0
20150213:0900,0.0,0.0,0.0,0.0,0.0,15.7,1.77,0.0
20150213:1000,0.0,0.0,0.0,0.0,0.0,15.68,1.81,0.0
20150213:1100,0.0,0.0,0.0,0.0,0.0,15.65,1.86,0.0
20150213:1200,0.0,0.0,0.0,0.0,0.0,15.63,1.9,0.0
20150213:1300,0.0,0.0,0.0,0.0,0.0,15.5,1.63,0.0
20150213:1400,0.0,0.0,0.0,0.0,0.0,15.37,1.36,0.0
20150213:1500,2849.0,42.71,21.64,0.72,3.63,15.23,1.09,0.0
20150213:1600,26283.0,268.6,71.23,4.06,15.1,16.37,1.13,0.0
20150213:1700,48282.0,507.49,93.28,7.44,25.54,17.51,1.17,0.0
20150213:1800,64275.0,710.84,106.96,10.19,34.31,18.64,1.21,0.0
20150213:1900,75016.0,851.42,115.93,11.97,40.48,19.19,1.76,0.0
20150213:2000,80383.0,921.57,119.07,12.65,42.97,19.74,2.3,0.0
20150213:2100,79923.0,906.98,120.02,12.14,41.21,20.29,2.84,0.0
20150213:2200,73234.0,813.69,116.38,10.52,35.63,20.56,2.92,0.0
20150213:2300,60271.0,644.34,108.01,7.9,27.24,20.82,3.0,0.0
20150214:0000,40206.0,408.74,90.93,4.61,17.27,21.09,3.08,0.0
20150214:0100,13685.0,138.9,51.41,1.21,5.92,20.44,2.28,0.0
20150214:0200,0.0,0.0,0.0,0.0,0.0,19.8,1.49,0.0
20150214:0300,0.0,0.0,0.0,0.0,0.0,19.15,0.69,0.0
20150214:0400,0.0,0.0,0.0,0.0,0.0,18.53,0.91,0.0
20150214:0500,0.0,0.0,0.0,0.0,0.0,17.9,1.12,0.0
20150214:0600,0.0,0.0,0.0,0.0,0.0,17.28,1.34,0.0
20150214:0700,0.0,0.0,0.0,0.0,0.0,17.11,1.44,0.0
20150214:0800,0.0,0.0,0.0,0.0,0.0,16.93,1.54,0.0
20150214:0900,0.0,0.0,0.0,0.0,0.0,16.76,1.64,0.0
20150214:1000,0.0,0.0,0.0,0.0,0.0,16.78,1.58,0.0
20150214:1100,0.0,0.0,0.0,0.0,0.0,16.8,1.51,0.0
20150214:1200,0.0,0.0,0.0,0.0,0.0,16.83,1.45,0.0
20150214:1300,0.0,0.0,0.0,0.0,0.0,16.7,1.31,0.0
20150214:1400,0.0,0.0,0.0,0.0,0.0,16.57,1.16,0.0
20150214:1500,2896.0,42.69,22.45,0.75,3.83,16.44,1.02,0.0
20150214:1600,25905.0,265.18,71.7,4.08,15.32,17.03,0.73,0.0
20150214:1700,47424.0,503.56,92.62,7.44,25.79,17.62,0.43,0.0
20150214:1800,62597.0,705.26,106.31,10.17,34.6,18.21,0.14,0.0
20150214:1900,73344.0,847.04,114.06,11.95,40.8,19.36,0.94,0.0
20150214:2000,78775.0,914.23,118.39,12.62,43.31,20.5,1.75,0.0
20150214:2100,78603.0,900.93,119.34,12.12,41.54,21.64,2.55,0.0
20150214:2200,72316.0,807.5,115.62,10.5,35.92,20.68,2.51,0.0
20150214:2300,59857.0,639.65,107.18,7.9,27.5,19.72,2.47,0.0
20150215:0000,40371.0,408.02,90.17,4.64,17.49,18.76,2.43,0.0
20150215:0100,13812.0,137.89,51.91,1.25,6.12,18.17,2.45,0.0
20150215:0200,0.0,0.0,0.0,0.0,0.0,17.59,2.47,0.0
20150215:0300,0.0,0.0,0.0,0.0,0.0,17.0,2.5,0.0
20150215:0400,0.0,0.0,0.0,0.0,0.0,16.91,1.99,0.0
20150215:0500,0.0,0.0,0.0,0.0,0.0,16.82,1.49,0.0
20150215:0600,0.0,0.0,0.0,0.0,0.0,16.73,0.98,0.0
20150215:0700,0.0,0.0,0.0,0.0,0.0,16.77,1.32,0.0
20150215:0800,0.0,0.0,0.0,0.0,0.0,16.8,1.66,0.0
20150215:0900,0.0,0.0,0.0,0.0,0.0,16.84,2.0,0.0
20150215:1000,0.0,0.0,0.0,0.0,0.0,16.8,1.62,0.0
20150215:1100,0.0,0.0,0.0,0.0,0.0,16.75,1.25,0.0
20150215:1200,0.0,0.0,0.0,0.0,0.0,16.71,0.87,0.0
20150215:1300,0.0,0.0,0.0,0.0,0.0,16.57,0.86,0.0
20150215:1400,0.0,0.0,0.0,0.0,0.0,16.44,0.84,0.0
20150215:1500,2989.0,44.67,22.33,0.79,4.03,16.3,0.83,0.0
20150215:1600,25568.0,261.81,69.72,4.06,15.54,16.65,0.9,0.0
20150215:1700,47385.0,496.91,91.86,7.41,26.05,17.0,0.97,0.0
20150215:1800,63440.0,696.96,105.57,10.12,34.89,17.34,1.03,0.0
20150215:1900,74542.0,839.92,113.4,11.92,41.12,17.43,1.6,0.0
20150215:2000,80050.0,906.93,117.72,12.58,43.65,17.52,2.17,0.0
20150215:2100,79966.0,894.91,118.68,12.1,41.87,17.61,2.73,0.0
20150215:2200,73235.0,804.39,115.0,10.52,36.22,17.31,2.47,0.0
20150215:2300,60332.0,638.29,106.54,7.94,27.76,17.0,2.21,0.0
20150216:0000,40678.0,409.22,89.58,4.69,17.72,16.69,1.94,0.0
20150216:0100,14338.0,143.46,51.87,1.3,6.32,16.62,1.84,0.0
20150216:0200,0.0,0.0,0.0,0.0,0.0,16.55,1.74,0.0
20150216:0300,0.0,0.0,0.0,0.0,0.0,16.48,1.64,0.0
20150216:0400,0.0,0.0,0.0,0.0,0.0,16.3,1.43,0.0
20150216:0500,0.0,0.0,0.0,0.0,0.0,16.11,1.22,0.0
20150216:0600,0.0,0.0,0.0,0.0,0.0,15.93,1.01,0.0
20150216:0700,0.0,0.0,0.0,0.0,0.0,15.84,0.99,0.0
20150216:0800,0.0,0.0,0.0,0.0,0.0,15.75,0.97,0.0
20150216:0900,0.0,0.0,0.0,0.0,0.0,15.66,0.95,0.0
20150216:1000,0.0,0.0,0.0,0.0,0.0,15.66,0.94,0.0
20150216:1100,0.0,0.0,0.0,0.0,0.0,15.65,0.93,0.0
20150216:1200,0.0,0.0,0.0,0.0,0.0,15.65,0.92,0.0
20150216:1300,0.0,0.0,0.0,0.0,0.0,15.35,0.91,0.0
20150216:1400,0.0,0.0,0.0,0.0,0.0,15.05,0.91,0.0
20150216:1500,3265.0,48.39,23.12,0.85,4.24,14.75,0.9,0.0
20150216:1600,26491.0,269.93,70.9,4.22,15.77,15.39,0.99,0.0
20150216:1700,48629.0,508.13,93.06,7.61,26.31,16.03,1.08,0.0
20150216:1800,64841.0,710.52,106.8,10.36,35.19,16.67,1.17,0.0
20150216:1900,75843.0,854.79,114.65,12.17,41.45,16.81,1.6,0.0
20150216:2000,81151.0,922.03,119.01,12.84,43.99,16.95,2.02,0.0
20150216:2100,80775.0,909.06,118.66,12.33,42.2,17.08,2.44,0.0
20150216:2200,73528.0,813.34,114.83,10.67,36.52,16.83,2.02,0.0
20150216:2300,60442.0,643.44,107.63,8.06,28.02,16.58,1.6,0.0
20150217:0000,40629.0,410.37,90.46,4.76,17.94,16.33,1.19,0.0
20150217:0100,14333.0,142.37,52.4,1.33,6.52,15.59,1.04,0.0
20150217:0200,0.0,0.0,0.0,0.0,0.0,14.84,0.9,0.0
20150217:0300,0.0,0.0,0.0,0.0,0.0,14.1,0.76,0.0
20150217:0400,0.0,0.0,0.0,0.0,0.0,13.98,0.57,0.0
20150217:0500,0.0,0.0,0.0,0.0,0.0,13.85,0.39,0.0
20150217:0600,0.0,0.0,0.0,0.0,0.0,13.73,0.21,0.0
20150217:0700,0.0,0.0,0.0,0.0,0.0,13.63,0.34,0.0
20150217:0800,0.0,0.0,0.0,0.0,0.0,13.53,0.46,0.0
20150217:0900,0.0,0.0,0.0,0.0,0.0,13.43,0.59,0.0
20150217:1000,0.0,0.0,0.0,0.0,0.0,13.35,0.84,0.0
20150217:1100,0.0,0.0,0.0,0.0,0.0,13.26,1.08,0.0
20150217:1200,0.0,0.0,0.0,0.0,0.0,13.18,1.32,0.0
20150217:1300,0.0,0.0,0.0,0.0,0.0,12.97,1.16,0.0
20150217:1400,0.0,0.0,0.0,0.0,0.0,12.77,1.0,0.0
20150217:1500,3258.0,46.2,23.88,0.87,4.45,12.56,0.84,0.0
20150217:1600,5527.0,0.0,80.44,1.5,16.01,13.23,0.94,0.0
20150217:1700,15928.0,29.9,171.06,3.5,26.57,13.9,1.04,0.0
20150217:1800,64572.0,699.53,104.74,10.26,35.49,14.57,1.14,0.0
20150217:1900,75484.0,840.81,113.8,12.05,41.79,15.0,1.56,0.0
20150217:2000,80798.0,909.15,118.18,12.73,44.34,15.43,1.97,0.0
20150217:2100,80452.0,898.72,117.87,12.26,42.53,15.85,2.39,0.0
20150217:2200,73609.0,807.19,114.1,10.65,36.81,15.92,2.22,0.0
20150217:2300,60707.0,640.42,106.91,8.07,28.27,15.98,2.05,0.0
20150218:0000,40997.0,411.49,89.88,4.81,18.17,16.05,1.88,0.0
20150218:0100,14617.0,144.42,53.42,1.38,6.72,15.6,1.6,0.0
20150218:0200,0.0,0.0,0.0,0.0,0.0,15.15,1.31,0.0
20150218:0300,0.0,0.0,0.0,0.0,0.0,14.7,1.03,0.0
20150218:0400,0.0,0.0,0.0,0.0,0.0,14.6,0.87,0.0
20150218:0500,0.0,0.0,0.0,0.0,0.0,14.49,0.71,0.0
20150218:0600,0.0,0.0,0.0,0.0,0.0,14.39,0.55,0.0
20150218:0700,0.0,0.0,0.0,0.0,0.0,14.32,0.51,0.0
20150218:0800,0.0,0.0,0.0,0.0,0.0,14.25,0.47,0.0
20150218:0900,0.0,0.0,0.0,0.0,0.0,14.18,0.43,0.0
20150218:1000,0.0,0.0,0.0,0.0,0.0,14.17,0.57,0.0
20150218:1100,0.0,0.0,0.0,0.0,0.0,14.16,0.71,0.0
20150218:1200,0.0,0.0,0.0,0.0,0.0,14.15,0.86,0.0
20150218:1300,0.0,0.0,0.0,0.0,0.0,13.84,0.82,0.0
20150218:1400,0.0,0.0,0.0,0.0,0.0,13.53,0.78,0.0
20150218:1500,3478.0,49.49,24.62,0.94,4.67,13.22,0.74,0.0
20150218:1600,7909.0,11.14,98.24,1.95,16.25,14.14,0.8,0.0
20150218:1700,48465.0,505.71,91.98,7.68,26.84,15.06,0.86,0.0
20150218:1800,64581.0,708.82,105.81,10.45,35.8,15.98,0.91,0.0
20150218:1900,75475.0,852.76,113.7,12.26,42.13,16.35,1.35,0.0
20150218:2000,80901.0,922.66,118.12,12.96,44.7,16.71,1.79,0.0
20150218:2100,64114.0,525.39,272.23,10.31,42.87,17.07,2.23,0.0
20150218:2200,59271.0,504.77,229.01,9.06,37.11,16.83,1.9,0.0
20150218:2300,35883.0,221.57,215.92,5.75,28.53,16.58,1.56,0.0
20150219:0000,19789.0,116.55,131.33,3.18,18.39,16.34,1.23,0.0
20150219:0100,3296.0,14.93,40.17,0.79,6.92,16.01,1.05,0.0
20150219:0200,0.0,0.0,0.0,0.0,0.0,15.69,0.87,0.0
20150219:0300,0.0,0.0,0.0,0.0,0.0,15.36,0.69,0.0
20150219:0400,0.0,0.0,0.0,0.0,0.0,15.11,0.53,0.0
20150219:0500,0.0,0.0,0.0,0.0,0.0,14.85,0.38,0.0
20150219:0600,0.0,0.0,0.0,0.0,0.0,14.6,0.22,0.0
20150219:0700,0.0,0.0,0.0,0.0,0.0,14.6,0.46,0.0
20150219:0800,0.0,0.0,0.0,0.0,0.0,14.59,0.69,0.0
20150219:0900,0.0,0.0,0.0,0.0,0.0,14.59,0.92,0.0
20150219:1000,0.0,0.0,0.0,0.0,0.0,14.54,0.83,0.0
20150219:1100,0.0,0.0,0.0,0.0,0.0,14.49,0.74,0.0
20150219:1200,0.0,0.0,0.0,0.0,0.0,14.44,0.65,0.0
20150219:1300,0.0,0.0,0.0,0.0,0.0,14.25,0.81,0.0
20150219:1400,0.0,0.0,0.0,0.0,0.0,14.06,0.97,0.0
20150219:1500,3771.0,54.19,25.31,1.02,4.89,13.86,1.13,0.0
20150219:1600,5115.0,0.0,75.87,1.42,16.49,14.41,1.2,0.0
20150219:1700,17663.0,40.15,181.57,3.81,27.11,14.96,1.28,0.0
20150219:1800,34032.0,143.06,271.49,6.52,36.1,15.51,1.35,0.0
20150219:1900,77476.0,871.31,115.02,12.56,42.47,15.69,1.65,0.0
20150219:2000,82605.0,938.76,119.4,13.23,45.05,15.86,1.94,0.0
20150219:2100,82103.0,925.03,120.37,12.72,43.21,16.03,2.23,0.0
20150219:2200,75267.0,830.56,116.64,11.06,37.41,15.95,2.11,0.0
20150219:2300,62347.0,661.54,108.19,8.42,28.79,15.86,1.98,0.0
20150220:0000,42454.0,426.42,92.56,5.07,18.61,15.77,1.85,0.0
20150220:0100,6618.0,49.4,48.31,1.02,7.12,15.46,1.5,0.0
20150220:0200,0.0,0.0,0.0,0.0,0.0,15.14,1.15,0.0
20150220:0300,0.0,0.0,0.0,0.0,0.0,14.83,0.8,0.0
20150220:0400,0.0,0.0,0.0,0.0,0.0,14.41,0.86,0.0
20150220:0500,0.0,0.0,0.0,0.0,0.0,14.0,0.91,0.0
20150220:0600,0.0,0.0,0.0,0.0,0.0,13.58,0.97,0.0
20150220:0700,0.0,0.0,0.0,0.0,0.0,13.36,0.74,0.0
20150220:0800,0.0,0.0,0.0,0.0,0.0,13.13,0.52,0.0
20150220:0900,0.0,0.0,0.0,0.0,0.0,12.91,0.3,0.0
20150220:1000,0.0,0.0,0.0,0.0,0.0,12.92,0.6,0.0
20150220:1100,0.0,0.0,0.0,0.0,0.0,12.93,0.89,0.0
20150220:1200,0.0,0.0,0.0,0.0,0.0,12.95,1.19,0.0
20150220:1300,0.0,0.0,0.0,0.0,0.0,12.74,1.09,0.0
20150220:1400,0.0,0.0,0.0,0.0,0.0,12.53,0.99,0.0
20150220:1500,349.0,0.0,12.8,0.24,5.11,12.32,0.9,0.0
20150220:1600,984.0,0.0,22.85,0.43,16.74,12.78,1.12,0.0
20150220:1700,26239.0,119.51,199.31,4.97,27.39,13.24,1.35,0.0
20150220:1800,41496.0,228.6,271.49,7.44,36.42,13.7,1.57,0.0
20150220:1900,78030.0,868.15,114.48,12.58,42.81,13.99,1.75,0.0
20150220:2000,58033.0,375.3,334.53,9.99,45.41,14.28,1.92,0.0
20150220:2100,59180.0,408.72,315.21,9.83,43.55,14.56,2.1,0.0
20150220:2200,62497.0,544.67,218.18,9.41,37.71,14.55,2.37,0.0
20150220:2300,42532.0,299.13,210.31,6.38,29.05,14.53,2.64,0.0
20150221:0000,30561.0,244.43,124.55,4.05,18.83,14.52,2.91,0.0
20150221:0100,5919.0,39.6,48.42,1.01,7.31,13.82,2.37,0.0
20150221:0200,0.0,0.0,0.0,0.0,0.0,13.11,1.83,0.0
20150221:0300,0.0,0.0,0.0,0.0,0.0,12.41,1.28,0.0
20150221:0400,0.0,0.0,0.0,0.0,0.0,12.3,1.27,0.0
20150221:0500,0.0,0.0,0.0,0.0,0.0,12.18,1.26,0.0
20150221:0600,0.0,0.0,0.0,0.0,0.0,12.07,1.26,0.0
20150221:0700,0.0,0.0,0.0,0.0,0.0,12.0,1.45,0.0
20150221:0800,0.0,0.0,0.0,0.0,0.0,11.94,1.65,0.0
20150221:0900,0.0,0.0,0.0,0.0,0.0,11.87,1.85,0.0
20150221:1000,0.0,0.0,0.0,0.0,0.0,11.78,1.94,0.0
20150221:1100,0.0,0.0,0.0,0.0,0.0,11.69,2.02,0.0
20150221:1200,0.0,0.0,0.0,0.0,0.0,11.6,2.11,0.0
20150221:1300,0.0,0.0,0.0,0.0,0.0,11.76,2.01,0.0
20150221:1400,0.0,0.0,0.0,0.0,0.0,11.93,1.92,0.0
20150221:1500,1442.0,0.0,29.25,0.55,5.34,12.09,1.82,0.0
20150221:1600,13373.0,59.04,114.12,2.75,16.99,12.45,1.96,0.0
20150221:1700,7820.0,0.0,106.95,2.0,27.67,12.81,2.11,0.0
20150221:1800,39694.0,198.18,276.26,7.22,36.73,13.17,2.25,0.0
20150221:1900,63254.0,502.69,263.85,10.41,43.16,13.42,2.63,0.0
20150221:2000,67969.0,543.82,282.85,11.04,45.77,13.66,3.02,0.0
20150221:2100,72989.0,657.65,232.17,11.3,43.89,13.9,3.41,0.0
20150221:2200,56776.0,409.83,268.82,8.83,38.01,13.69,3.53,0.0
20150221:2300,18192.0,34.57,189.85,3.82,29.31,13.48,3.65,0.0
20150222:0000,24430.0,159.43,135.67,3.6,19.06,13.27,3.77,0.0
20150222:0100,1843.0,0.0,34.74,0.65,7.51,12.84,3.06,0.0
20150222:0200,0.0,0.0,0.0,0.0,0.0,12.42,2.35,0.0
20150222:0300,0.0,0.0,0.0,0.0,0.0,11.99,1.64,0.0
20150222:0400,0.0,0.0,0.0,0.0,0.0,11.79,1.62,0.0
20150222:0500,0.0,0.0,0.0,0.0,0.0,11.59,1.6,0.0
20150222:0600,0.0,0.0,0.0,0.0,0.0,11.39,1.57,0.0
20150222:0700,0.0,0.0,0.0,0.0,0.0,11.39,1.55,0.0
20150222:0800,0.0,0.0,0.0,0.0,0.0,11.39,1.53,0.0
20150222:0900,0.0,0.0,0.0,0.0,0.0,11.39,1.5,0.0
20150222:1000,0.0,0.0,0.0,0.0,0.0,11.4,1.55,0.0
20150222:1100,0.0,0.0,0.0,0.0,0.0,11.4,1.6,0.0
20150222:1200,0.0,0.0,0.0,0.0,0.0,11.41,1.66,0.0
20150222:1300,0.0,0.0,0.0,0.0,0.0,11.93,1.77,0.0
20150222:1400,0.0,0.0,0.0,0.0,0.0,12.46,1.88,0.0
20150222:1500,1046.0,0.0,23.77,0.44,5.57,12.98,1.99,0.0
20150222:1600,11060.0,33.14,112.76,2.46,17.24,13.36,2.68,0.0
20150222:1700,21070.0,61.46,196.23,4.32,27.95,13.73,3.37,0.0
20150222:1800,17345.0,13.13,202.52,3.93,37.05,14.1,4.07,0.0
20150222:1900,35227.0,102.41,317.36,6.96,43.52,14.2,4.42,0.0
20150222:2000,18329.0,10.85,215.91,4.15,46.13,14.29,4.77,0.0
20150222:2100,6064.0,0.0,86.84,1.62,44.23,14.38,5.12,0.0
20150222:2200,22695.0,34.93,240.73,4.81,38.31,14.15,4.84,0.0
20150222:2300,5920.0,0.0,85.01,1.59,29.56,13.91,4.56,0.0
20150223:0000,2183.0,0.0,39.31,0.73,19.28,13.67,4.28,0.0
20150223:0100,507.0,0.0,15.54,0.29,7.7,13.43,3.6,0.0
20150223:0200,0.0,0.0,0.0,0.0,0.0,13.2,2.92,0.0
20150223:0300,0.0,0.0,0.0,0.0,0.0,12.96,2.25,0.0
20150223:0400,0.0,0.0,0.0,0.0,0.0,12.91,2.62,0.0
20150223:0500,0.0,0.0,0.0,0.0,0.0,12.87,2.99,0.0
20150223:0600,0.0,0.0,0.0,0.0,0.0,12.82,3.37,0.0
20150223:0700,0.0,0.0,0.0,0.0,0.0,12.8,2.65,0.0
20150223:0800,0.0,0.0,0.0,0.0,0.0,12.78,1.93,0.0
20150223:0900,0.0,0.0,0.0,0.0,0.0,12.76,1.21,0.0
20150223:1000,0.0,0.0,0.0,0.0,0.0,12.61,1.16,0.0
20150223:1100,0.0,0.0,0.0,0.0,0.0,12.46,1.11,0.0
20150223:1200,0.0,0.0,0.0,0.0,0.0,12.31,1.06,0.0
20150223:1300,0.0,0.0,0.0,0.0,0.0,12.64,1.12,0.0
20150223:1400,0.0,0.0,0.0,0.0,0.0,12.98,1.17,0.0
20150223:1500,4827.0,57.94,35.28,1.23,5.81,13.31,1.23,0.0
20150223:1600,28033.0,281.56,72.55,4.73,17.5,13.6,1.84,0.0
20150223:1700,50732.0,517.79,93.6,8.14,28.24,13.89,2.46,0.0
20150223:1800,37645.0,168.43,281.56,7.03,37.37,14.18,3.08,0.0
20150223:1900,1626.0,0.0,31.99,0.6,43.87,14.23,3.43,0.0
20150223:2000,52029.0,267.22,355.01,9.29,46.5,14.27,3.78,0.0
20150223:2100,84322.0,916.13,119.54,12.85,44.58,14.31,4.14,0.0
20150223:2200,43295.0,217.07,297.58,7.49,38.61,14.32,4.06,0.0
20150223:2300,63818.0,656.89,108.49,8.6,29.82,14.32,3.97,0.0
20150224:0000,43279.0,426.24,91.4,5.26,19.49,14.32,3.89,0.0
20150224:0100,16594.0,162.44,57.26,1.71,7.9,14.23,3.14,0.0
20150224:0200,0.0,0.0,0.0,0.0,0.0,14.14,2.38,0.0
20150224:0300,0.0,0.0,0.0,0.0,0.0,14.05,1.63,0.0
20150224:0400,0.0,0.0,0.0,0.0,0.0,13.87,1.51,0.0
20150224:0500,0.0,0.0,0.0,0.0,0.0,13.69,1.39,0.0
20150224:0600,0.0,0.0,0.0,0.0,0.0,13.51,1.27,0.0
20150224:0700,0.0,0.0,0.0,0.0,0.0,13.37,1.37,0.0
20150224:0800,0.0,0.0,0.0,0.0,0.0,13.23,1.47,0.0
20150224:0900,0.0,0.0,0.0,0.0,0.0,13.09,1.57,0.0
20150224:1000,0.0,0.0,0.0,0.0,0.0,12.98,1.58,0.0
20150224:1100,0.0,0.0,0.0,0.0,0.0,12.86,1.59,0.0
20150224:1200,0.0,0.0,0.0,0.0,0.0,12.75,1.6,0.0
20150224:1300,0.0,0.0,0.0,0.0,0.0,12.9,1.65,0.0
20150224:1400,0.0,0.0,0.0,0.0,0.0,13.05,1.7,0.0
20150224:1500,5199.0,62.9,36.35,1.33,6.05,13.19,1.75,0.0
20150224:1600,29102.0,292.44,74.87,4.95,17.76,13.76,1.87,0.0
20150224:1700,52196.0,538.35,96.18,8.5,28.53,14.32,1.98,0.0
20150224:1800,69227.0,747.61,109.03,11.35,37.7,14.88,2.1,0.0
20150224:1900,80608.0,893.8,118.3,13.21,44.23,15.37,2.59,0.0
20150224:2000,86129.0,964.25,122.85,13.91,46.87,15.86,3.09,0.0
20150224:2100,85799.0,954.31,122.73,13.42,44.92,16.35,3.59,0.0
20150224:2200,78499.0,859.06,119.08,11.73,38.91,16.55,3.31,0.0
20150224:2300,64972.0,686.11,111.99,9.01,30.07,16.74,3.03,0.0
20150225:0000,44456.0,447.86,95.07,5.55,19.71,16.94,2.76,0.0
20150225:0100,17613.0,173.88,61.06,1.84,8.09,16.67,2.51,0.0
20150225:0200,0.0,0.0,0.0,0.0,0.0,16.39,2.25,0.0
20150225:0300,0.0,0.0,0.0,0.0,0.0,16.12,2.0,0.0
20150225:0400,0.0,0.0,0.0,0.0,0.0,15.87,1.58,0.0
20150225:0500,0.0,0.0,0.0,0.0,0.0,15.61,1.15,0.0
20150225:0600,0.0,0.0,0.0,0.0,0.0,15.36,0.73,0.0
20150225:0700,0.0,0.0,0.0,0.0,0.0,15.17,1.21,0.0
20150225:0800,0.0,0.0,0.0,0.0,0.0,14.98,1.7,0.0
20150225:0900,0.0,0.0,0.0,0.0,0.0,14.79,2.18,0.0
20150225:1000,0.0,0.0,0.0,0.0,0.0,14.59,2.25,0.0
20150225:1100,0.0,0.0,0.0,0.0,0.0,14.39,2.33,0.0
20150225:1200,0.0,0.0,0.0,0.0,0.0,14.19,2.4,0.0
20150225:1300,0.0,0.0,0.0,0.0,0.0,14.09,2.1,0.0
20150225:1400,0.0,0.0,0.0,0.0,0.0,13.99,1.79,0.0
20150225:1500,5194.0,62.13,36.87,1.37,6.29,13.88,1.49,0.0
20150225:1600,28407.0,286.44,74.05,4.92,18.02,14.42,1.48,0.0
20150225:1700,50575.0,524.06,95.22,8.36,28.82,14.96,1.46,0.0
20150225:1800,66778.0,726.44,107.99,11.13,38.03,15.5,1.45,0.0
20150225:1900,77637.0,869.56,116.0,12.94,44.59,15.61,1.76,0.0
20150225:2000,82813.0,936.81,120.43,13.61,47.24,15.72,2.06,0.0
20150225:2100,82369.0,924.76,120.15,13.09,45.27,15.83,2.37,0.0
20150225:2200,75848.0,831.32,117.65,11.45,39.21,15.73,2.41,0.0
20150225:2300,63101.0,664.5,109.11,8.81,30.33,15.63,2.46,0.0
20150226:0000,43204.0,431.24,93.31,5.43,19.93,15.53,2.5,0.0
20150226:0100,17015.0,167.3,59.37,1.83,8.28,15.22,1.72,0.0
20150226:0200,0.0,0.0,0.0,0.0,0.0,14.9,0.94,0.0
20150226:0300,0.0,0.0,0.0,0.0,0.0,14.59,0.17,0.0
20150226:0400,0.0,0.0,0.0,0.0,0.0,14.44,0.34,0.0
20150226:0500,0.0,0.0,0.0,0.0,0.0,14.3,0.52,0.0
20150226:0600,0.0,0.0,0.0,0.0,0.0,14.15,0.7,0.0
20150226:0700,0.0,0.0,0.0,0.0,0.0,14.1,0.76,0.0
20150226:0800,0.0,0.0,0.0,0.0,0.0,14.05,0.82,0.0
20150226:0900,0.0,0.0,0.0,0.0,0.0,14.0,0.88,0.0
20150226:1000,0.0,0.0,0.0,0.0,0.0,13.9,1.05,0.0
20150226:1100,0.0,0.0,0.0,0.0,0.0,13.79,1.22,0.0
20150226:1200,0.0,0.0,0.0,0.0,0.0,13.69,1.39,0.0
20150226:1300,0.0,0.0,0.0,0.0,0.0,13.55,1.07,0.0
20150226:1400,0.0,0.0,0.0,0.0,0.0,13.42,0.75,0.0
20150226:1500,5298.0,62.72,37.52,1.42,6.54,13.28,0.43,0.0
20150226:1600,28348.0,286.89,73.55,4.97,18.29,13.82,0.74,0.0
20150226:1700,27284.0,121.79,211.57,5.31,29.12,14.36,1.05,0.0
20150226:1800,56859.0,498.99,200.13,9.66,38.36,14.89,1.37,0.0
20150226:1900,77221.0,861.19,115.34,12.89,44.96,15.17,1.77,0.0
20150226:2000,54050.0,305.87,354.71,9.76,47.62,15.45,2.17,0.0
20150226:2100,68475.0,576.95,270.33,11.2,45.62,15.72,2.57,0.0
